"ISO3Code","country","UN_M49_Class","WB_Income_Class","Off_age_10_14_ratio_rev_2017","Off_age_15_19_ratio_rev_2017","Off_age_20_24_ratio_rev_2017","Off_age_25_29_ratio_rev_2017","Off_age_30_34_ratio_rev_2017","Off_age_35_39_ratio_rev_2017","Off_age_40_44_ratio_rev_2017","Off_age_45_49_ratio_rev_2017","Off_age_50_54_ratio_rev_2017","Off_age_55_59_ratio_rev_2017","Off_age_60_64_ratio_rev_2017","Off_age_18_23_ratio_rev_2017","Off_age_20_plus_ratio_rev_2017","Off_age_20_64_ratio_rev_2017","Off_age_21_plus_ratio_rev_2017","Off_age_25_plus_ratio_rev_2017","Off_age_25_49_ratio_rev_2017","Off_age_25_64_ratio_rev_2017","Off_age_50_plus_ratio_rev_2017","Off_age_60_plus_ratio_rev_2017","Off_age_65_plus_ratio_rev_2017","Off_age_18_plus_ratio_rev_2017","Off_age_10_14_ratio_rev_2019","Off_age_15_19_ratio_rev_2019","Off_age_20_24_ratio_rev_2019","Off_age_25_29_ratio_rev_2019","Off_age_30_34_ratio_rev_2019","Off_age_35_39_ratio_rev_2019","Off_age_40_44_ratio_rev_2019","Off_age_45_49_ratio_rev_2019","Off_age_50_54_ratio_rev_2019","Off_age_55_59_ratio_rev_2019","Off_age_60_64_ratio_rev_2019","Off_age_65_plus_ratio_rev_2019","Off_age_60_plus_ratio_rev_2019","Off_age_20_64_ratio_rev_2019","Off_age_25_49_ratio_rev_2019","Off_age_25_64_ratio_rev_2019","Off_age_20_plus_ratio_rev_2019","Off_age_25_plus_ratio_rev_2019","Off_age_50_plus_ratio_rev_2019","Off_age_21_plus_ratio_rev_2019","Off_age_18_23_ratio_rev_2019","Off_age_18_plus_ratio_rev_2019","GGG_score_2016","Econ_opp_GG_subindex_2016","Educ_attn_GG_subindex_2016","Health_GG_subindex_2016","Political_empowerment_GG_subindex_2016","Labr_force_GG_raw_2016","Wage_equal_GG_raw_2016","Estim_income_GG_raw_2016","Seniority_GG_raw_2016","Professionality_GG_raw_2016","Literacy_GG_raw_2016","Enrol_prim_educ_GG_raw_2016","Enrol_sec_educ_GG_raw_2016","Enrol_ter_educ_GG_raw_2016","Birth_sex_ratio_raw_2016","Life_exp_GG_raw_2016","Parliament_GG_raw_2016","Ministerial_GG_raw_2016","Female_head_GG_raw_2016","GGG_score_2017","Econ_opp_GG_subindex_2017","Educ_attn_GG_subindex_2017","Health_GG_subindex_2017","Political_empowerment_GG_subindex_2017","Labr_force_GG_raw_2017","Wage_equal_GG_raw_2017","Estim_income_GG_raw_2017","Seniority_GG_raw_2017","Professionality_GG_raw_2017","Literacy_GG_raw_2017","Enrol_prim_educ_GG_raw_2017","Enrol_sec_educ_GG_raw_2017","Enrol_ter_educ_GG_raw_2017","Birth_sex_ratio_raw_2017","Life_exp_GG_raw_2017","Parliament_GG_raw_2017","Ministerial_GG_raw_2017","Female_head_GG_raw_2017","GGG_score_2018","Econ_opp_GG_subindex_2018","Educ_attn_GG_subindex_2018","Health_GG_subindex_2018","Political_empowerment_GG_subindex_2018","Labr_force_GG_raw_2018","Wage_equal_GG_raw_2018","Estim_income_GG_raw_2018","Seniority_GG_raw_2018","Professionality_GG_raw_2018","Literacy_GG_raw_2018","Enrol_prim_educ_GG_raw_2018","Enrol_sec_educ_GG_raw_2018","Enrol_ter_educ_GG_raw_2018","Birth_sex_ratio_raw_2018","Life_exp_GG_raw_2018","Parliament_GG_raw_2018","Ministerial_GG_raw_2018","Female_head_GG_raw_2018","Int_pentr_IWS_2016","Educ_HDI_2016","Unemployment_ratio_2016","GDP_capita_PPP_2016","Educ_HDI_2017","Unemployment_ratio_2017","GDP_capita_PPP_2017","ITU_IntAccess_ratio_2016","Latest_year_data_ITU_2016","ITU_IntAccess_ratio_2018","Latest_year_data_ITU_2018","mobile_gg_latest_2016","mobile_gg_latest_source_2016","mobile_gg_latest_year_2016","mobile_gg_latest_2017","mobile_gg_latest_source_2017","mobile_gg_latest_year_2017","mobile_gg_latest_2018","mobile_gg_latest_source_2018","mobile_gg_latest_year_2018","two_digit_code"
"ABW","Aruba","Developing","High-Income",0.967,0.981,0.94,0.959,1.145,1.217,1.156,1.166,1.156,1.161,1.193,0.952,1.155,1.122,1.16,1.18,1.134,1.148,1.224,1.288,1.339,1.148,0.967060115289597,0.981107320913146,0.94041313559322,0.959584723767149,1.14505824877865,1.21711621711622,1.15596330275229,1.16657908565423,1.1566265060241,1.16161073825503,1.19494097807757,1.34091329266038,1.28922856460473,1.12281105233761,1.13458958799106,1.14864408686846,1.15572169837639,1.18107265357032,1.22540359427353,1.16020192801323,0.952842377260982,1.14819074108743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,39492.8590825129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AW"
"AFG","Afghanistan","Least Developed","Low-Income",0.946,0.944,0.924,0.904,0.913,0.891,0.894,0.912,0.925,0.962,1.001,0.932,0.927,0.915,0.927,0.928,0.903,0.913,1.01,1.094,1.155,0.929,0.951597125947403,0.951289801521335,0.925590412766368,0.89954596709755,0.917947863549004,0.904503747066577,0.918816984094477,0.937178693703202,0.942958484590851,0.978178894330797,1.01881077946604,1.16401976802005,1.10694982121904,0.924087066807149,0.912439749175469,0.923641607736022,0.936371831542085,0.939357624430183,1.0255482566953,0.936289036160616,0.935376575886198,0.937378911018657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,0.398,1.5,1876.544682,0.415,1.59,1976.3632389106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AF"
"AGO","Angola","Least Developed","Lower-Middle-Income",0.996,1.002,1.017,1.026,1.021,1.019,1.025,1.043,1.076,1.118,1.155,1.012,1.046,1.036,1.048,1.054,1.025,1.041,1.145,1.206,1.24,1.043,1.01371677363847,1.01757555076,1.02434470931709,1.03423620161319,1.04194406334994,1.04832280615687,1.05934682766062,1.06349904896878,0.997755978363368,1.04356036189075,1.01590073375086,1.2694541397265,1.17060547279856,1.03698378895025,1.04613914286052,1.0405793476495,1.04824118897378,1.05462214651873,1.08167737546995,1.04951459550109,1.02189617648111,1.04571615051097,0.643,0.565,0.778,0.98,0.251,0.78,0.4,0.59,NA,NA,0.74,0.77,0.81,0.8,0.95,1.07,0.58,0.29,0,0.64,0.56,0.763,0.976,0.262,0.78,0.4,0.58,NA,NA,0.67,0.77,0.81,0.79,0.97,1.05,0.62,0.29,0,0.633221898,0.602396898,0.744670686,0.979557997,0.206262009,0.952559300873908,0.593112286,0.578642533298035,0.242607236390963,0.535398069714129,0.667805909784599,0.747732361879148,0.788926899037991,0.769851251813433,0.970873786,1.0724907063197,0.437908496638045,0.285714285677551,0,0.223,0.482,1.22,6499.067104,0.498,1.13,6657.85389136538,NA,NA,0.901785714285714,2014,0.728589264840975,"dhs_mobilegg","2015",0.728589264840975,"dhs_mobilegg","2015",0.728589264840975,"dhs_mobilegg","2015","AO"
"ALB","Albania","Developed","Upper-Middle-Income",0.925,0.951,0.936,0.917,1.069,1.218,1.14,1.096,1.055,1.018,1.019,0.943,1.049,1.035,1.052,1.067,1.069,1.055,1.064,1.086,1.117,1.044,0.883157778432528,0.950494726983998,0.895785446240389,0.832625998818518,0.844205219765793,1.00365796743148,1.11370613375068,1.06903232161816,1.02973083914854,1.02233854705409,1.02783218087587,1.07590847301455,1.06152490891842,0.969275925798547,0.957441150481392,0.982607259231235,0.986918503433881,1.00031301438247,1.04592326593169,0.988508587191312,0.917570485339675,0.985160614838667,0.704,0.668,0.986,0.947,0.214,0.68,0.83,0.51,0.29,1.29,0.98,0.99,0.98,1.41,0.91,1.03,0.26,0.54,0,0.728,0.673,0.986,0.968,0.284,0.68,0.83,0.53,0.29,1.29,0.98,0.99,0.99,1.4,0.93,1.06,0.39,0.67,0,0.733850033,0.700950412,0.986877712,0.963151043,0.284420964,0.746308724832215,0.801629286,0.629992788224552,0.292109068649641,1.15357294634734,0.977463333204884,0.986336841268687,0.988851818255432,1.59463896359422,0.927643785,1.04347826086957,0.386193512614361,0.666666666666667,0,0.626,0.715,0.84,11928.53656,0.745,0.93,12943.4454960323,NA,NA,NA,NA,NA,"",NA,0.946994508253544,"dhs_mobilegg","2017",0.946994508253544,"dhs_mobilegg","2017","AL"
"AND","Andorra","Developed","High-Income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD"
"ARE","United Arab Emirates","Developing","High-Income",0.947,0.672,0.467,0.337,0.304,0.257,0.222,0.233,0.214,0.219,0.229,0.52,0.285,0.284,0.282,0.268,0.274,0.267,0.231,0.284,0.348,0.291,0.961237547493599,0.944222197491961,0.554081741416678,0.345578193346256,0.328421311200497,0.320533951859128,0.291750291933882,0.326796963889731,0.302604777681806,0.279363672300818,0.40957821850198,0.477341854345374,0.444415162296306,0.339726840189719,0.324137780328646,0.322324285926913,0.341144475082931,0.324049395675026,0.323351419208248,0.337473494818343,0.665025595806697,0.3482529487836,0.639,0.456,1,0.961,0.139,0.46,0.8,0.3,0.11,0.28,1.03,1,1,2.26,0.95,1,0.29,0.2,0,0.649,0.459,0.994,0.965,0.18,0.46,0.83,0.26,0.11,0.28,1.02,0.99,NA,NA,0.96,1.01,0.29,0.36,0,0.64236578,0.439296895,0.978503298,0.971848191,0.179814738,0.448275862068966,0.787306,0.264932229120965,0.142492235929238,0.217990749997507,1.02226869954997,0.980403277539582,0.956867655113907,NA,0.956937799,1.03484848484848,0.290322580645161,0.363636363698347,0,0.906,0.687,3.13,72418.61086,0.738,3.38,74035.2474644218,0.972,2012,0.963541666666667,2017,NA,"",NA,1,"itu_mobilegg","2017",1,"itu_mobilegg","2017","AE"
"ARG","Argentina","Developing","Upper-Middle-Income",0.967,0.968,0.971,0.98,0.987,1.005,1.022,1.032,1.057,1.09,1.143,0.97,1.084,1.02,1.087,1.1,1.003,1.028,1.251,1.383,1.49,1.079,0.965045513509918,0.967791736327803,0.97736954772666,0.996029835804882,1.00968886078607,1.03063746105767,1.05763835540018,1.07529745703398,1.0934963575139,1.10734207893109,1.13828191238672,1.45885112706428,1.36033526965082,1.04146085207959,1.02994874922055,1.0528921402109,1.0987757650473,1.11700966495955,1.25017664269201,1.10217761777596,0.973698281515486,1.09240171076645,0.735,0.616,0.995,0.98,0.35,0.69,0.51,NA,0.42,1.27,1,0.99,1.07,1.61,0.95,1.08,0.56,0.29,0.24,0.732,0.596,0.998,0.98,0.356,0.69,0.53,0.49,0.44,1.19,1,1,1.06,1.62,0.96,1.08,0.64,0.21,0.24,0.73257924,0.599436794,0.99485379,0.979557997,0.356468378,0.689526184538653,0.528991714,0.500067611322824,0.446213374596936,1.13914680006664,1.00038454168655,0.988831069830728,1.05008736007736,1.66085762824783,0.961538462,1.07283763277693,0.636942675250988,0.21052631582133,0.241834512775183,0.794,0.808,1.46,19934.37249,0.816,1.49,20828.8763162865,NA,NA,0.977393617021277,2017,1.01680528748801,"pew_mobilegg","2015",1.0037610789071,"Avg: itu_usingmobgg & pew_mobilegg & aa_mobilegg","2017",1.01149425287356,"gsma_mobilegg","2018","AR"
"ARM","Armenia","Developing","Lower-Middle-Income",0.903,0.988,1.135,1.148,1.104,1.16,1.187,1.226,1.22,1.247,1.334,1.102,1.234,1.186,1.238,1.248,1.158,1.194,1.36,1.491,1.579,1.227,0.860868726282615,0.883267315468865,1.06987530347462,1.10159145242277,1.17013437364543,1.17651085797654,1.19541721854305,1.2816330968496,1.28660714285714,1.26908846283216,1.30634661022385,1.51387583243145,1.44538001915841,1.19217904950032,1.17394368553575,1.21160765752627,1.23438194678343,1.25662289442663,1.36294690641523,1.23954890038906,1.02177226047067,1.22213976548907,0.669,0.671,1,0.939,0.068,0.77,0.68,0.53,0.46,1.79,1,1.11,1.15,1.21,0.89,1.12,0.12,0.13,0,0.677,0.671,0.999,0.939,0.099,0.77,0.7,0.55,0.41,1.61,1,1,1.18,1.13,0.89,1.07,0.22,0.12,0,0.678345023,0.675385907,0.99950927,0.939156413,0.0993285,0.76221928665786,0.708782429,0.544712511549813,0.418856502894079,1.60333924816697,0.998840451403361,0.99941230517808,1.00678361139493,1.27405024852407,0.885739593,1.08018867924528,0.220930232629124,0.124999999985937,0,0.701,0.73,1.25,8817.953996,0.749,1.23,9667.95934414086,0.936,2014,0.96793893129771,2016,NA,"",NA,NA,NA,NA,NA,NA,NA,"AM"
"AUS","Australia","Developed","High-Income",0.951,0.932,0.937,0.973,0.986,1.01,1.013,1.011,0.999,1.021,1.03,0.932,1.021,0.996,1.023,1.03,0.998,1.004,1.066,1.103,1.131,1.018,0.945199796389322,0.951177805331842,0.942643927180676,0.986492108839764,0.99437955238311,1.00679902986374,1.01392203178168,1.02176839838854,1.01154205080348,1.03298654451921,1.02930670782789,1.13570139541366,1.10652112970191,1.002490047129,1.00395825002878,1.01070452755341,1.02757649228846,1.03680049565829,1.07310890572461,1.02923605184059,0.941798056182406,1.02483815450919,0.721,0.719,1,0.974,0.193,0.86,0.66,0.63,0.57,1.16,1,1,1.03,1.4,0.94,1.04,0.36,0.21,0.06,0.731,0.724,1,0.97,0.232,0.86,0.66,0.62,0.6,1.18,1,1.01,1.03,1.41,0.95,1.03,0.4,0.32,0.06,0.730242768,0.718468866,1,0.970985279,0.231516927,0.87030303030303,0.645490286,0.623796254103802,0.577931534301822,1.18500606657757,1,1.007856048871,1.0078962993368,1.43009202355049,0.947867299,1.03203342618384,0.401869158944013,0.318181818103926,0.064077896324639,0.921,0.939,0.99,46789.92724,0.929,1.04,49378.2796369625,1.008,2015,0.989655172413793,2017,0.980095094294923,"pew_mobilegg","2016",1.02299222865431,"pew_mobilegg","2017",1.02299222865431,"pew_mobilegg","2017","AU"
"AUT","Austria","Developed","High-Income",0.966,0.963,0.943,0.946,0.966,1.019,1.051,0.99,0.955,0.993,1.071,0.948,1.056,0.99,1.058,1.067,0.994,0.996,1.136,1.251,1.309,1.053,0.9542990439268,0.947452785948757,0.956411638695399,0.976652802589485,0.988310831404676,0.992632732808192,1.00518055412298,0.990857015117221,0.98675084575088,1.02272650627601,1.06923763691396,1.33538862775176,1.26965941675146,0.996881014076407,0.990784641463008,1.00162970355293,1.06689709570782,1.07693631458759,1.16000154448366,1.06874581512698,0.952438185749422,1.06351562322845,0.716,0.65,0.987,0.98,0.246,0.89,0.58,0.53,0.42,0.94,1,NA,0.97,1.2,0.95,1.07,0.44,0.44,0,0.709,0.66,0.988,0.975,0.216,0.89,0.6,0.52,0.47,0.93,1,NA,0.92,1.2,0.95,1.04,0.44,0.3,0.01,0.718491635,0.658053809,1,0.974136358,0.241776372,0.890818858560794,0.573505857,0.532991803464744,0.466205734924648,0.954439645429515,1,NA,1.00354013590967,1.18810721887265,0.947867299,1.04231311706629,0.525000000041937,0.300000000052,0.0113044442065663,0.83,0.82,0.89,50077.83261,0.852,0.86,53879.2978545168,0.904,2015,0.9393605292172,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT"
